"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-Apr-2025","1W AGO 
 25-Apr-2025","1M AGO 
 01-Apr-2025","1Y AGO 
 30-Apr-2024","52W H 
","52W L 
","365 D % CHNG 
 30-Apr-2024","30 D % CHNG 
 01-Apr-2025"
"NIFTY CORE HOUSING","15,300.90","-0.84","15,396.20","15,519.30","15,239.50","-","15,430.35","15,494.75","15,457.00","14,726.45","15,256.45","17,961.70","13,680.90","1.14","4.78"
"NIFTY HOUSING","10,982.90","-0.52","11,019.60","11,134.70","10,932.05","-","11,040.80","11,082.25","11,014.30","10,731.45","11,036.41","12,386.30","9,839.70","0.04","2.88"
"NIFTY IPO","1,833.20","-0.20","1,835.20","1,852.10","1,824.95","-","1,836.80","1,845.75","1,839.95","1,818.35","2,003.88","2,387.55","1,617.15","-8.34","1.01"
"NIFTY MIDSMALL INDIA CONSUMPTION","18,791.55","-1.25","18,954.50","19,062.40","18,725.30","-","19,029.50","19,081.25","18,835.50","18,130.80","16,629.80","21,008.10","14,493.40","14.43","4.96"
"NIFTY NON-CYCLICAL CONSUMER","15,708.80","-0.46","15,677.30","15,879.75","15,631.45","-","15,782.05","15,806.55","15,730.55","14,860.15","14,419.96","18,289.65","13,081.55","9.45","6.20"
"NIFTY RURAL","14,381.80","-0.33","14,403.85","14,552.10","14,309.90","-","14,429.65","14,490.05","14,449.45","13,797.45","13,924.75","16,370.10","12,304.35","3.63","4.58"
"NIFTY SHARIAH 25","8,037.10","-0.51","8,060.20","8,141.40","8,002.70","-","8,078.05","8,098.35","8,069.60","7,775.70","7,759.28","9,449.55","7,121.55","4.11","3.89"
"NIFTY TRANSPORTATION & LOGISTICS","21,438.00","0.56","21,241.35","21,723.40","21,241.35","-","21,319.25","21,315.10","21,034.05","20,146.65","21,561.71","26,170.50","16,828.35","-1.12","5.82"
"NIFTY50 SHARIAH","4,693.55","-0.58","4,713.45","4,755.35","4,672.70","-","4,720.95","4,736.50","4,721.70","4,606.00","4,566.29","5,677.90","4,235.90","3.39","2.50"
"NIFTY500 SHARIAH","6,789.00","-0.35","6,804.90","6,863.70","6,758.60","-","6,812.75","6,844.55","6,795.15","6,629.20","6,735.68","8,238.85","6,004.55","1.14","2.77"
"NIFTY 8-13 YR G-SEC","2,908.61","0.05","2,907.61","2,908.96","2,906.23","-","2,907.08","2,908.61","2,902.36","2,847.19","2,578.32","-","-","12.73","2.09"
"NIFTY 10 YR BENCHMARK G-SEC","2,570.34","0.03","2,569.88","2,570.83","2,567.67","-","2,569.41","2,571.55","2,566.01","2,517.71","2,275.06","-","-","12.92","2.04"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","915.16","0.01","914.99","915.33","914.20","-","915.00","916.10","914.79","901.28","868.69","-","-","5.33","1.52"
"NIFTY 4-8 YR G-SEC INDEX","3,130.15","0.01","3,130.19","3,130.29","3,129.57","-","3,129.62","3,128.80","3,120.36","3,069.80","2,799.26","-","-","11.78","1.93"
"NIFTY 11-15 YR G-SEC INDEX","3,245.85","0.06","3,244.42","3,246.91","3,244.24","-","3,243.83","3,245.85","3,238.61","3,162.26","2,841.39","-","-","14.14","2.56"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,561.63","0.02","3,561.50","3,562.31","3,559.34","-","3,560.83","3,563.45","3,555.92","3,481.46","3,114.65","-","-","14.30","2.26"
"NIFTY COMPOSITE G-SEC INDEX","3,015.02","0.04","3,014.18","3,015.34","3,013.28","-","3,013.63","3,015.24","3,008.56","2,948.34","2,663.82","-","-","13.11","2.20"
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,509.10","-","1,509.42","1,509.42","1,509.10","-","1,508.85","1,508.76","1,505.94","1,485.83","-","-","-","-","1.55"
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,379.29","-0.02","1,379.90","1,379.90","1,379.29","-","1,379.39","1,378.84","1,376.89","1,356.54","-","-","-","-","1.68"
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,260.23","0.01","1,260.24","1,260.24","1,260.23","-","1,259.77","1,259.07","1,258.30","1,238.53","-","-","-","-","1.71"
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,228.05","0.01","1,228.07","1,228.07","1,228.05","-","1,227.61","1,228.10","1,226.53","1,205.73","-","-","-","-","1.81"
